# Ep lEiso
342.744 -13.848
342.882 -13.596
344.083 -14.554
344.145 -13.782
344.175 -13.772
344.493 -13.163
345.515 -13.066
346.176 -12.983
349.150 -12.938
349.521 -13.097
350.498 -13.182
354.686 -12.632
355.032 -13.397
355.746 -13.378
356.275 -13.192
358.420 -13.359
360.896 -13.020
361.340 -13.497
361.547 -13.421
361.986 -13.502
363.159 -13.629
365.121 -13.471
365.741 -13.005
366.467 -12.964
367.788 -13.440
368.040 -13.014
368.100 -13.659
368.915 -13.309
369.312 -13.544
371.715 -13.272
374.247 -13.107
377.851 -13.069
378.673 -13.735
381.505 -13.506
385.615 -13.345
386.010 -12.892
386.295 -13.169
387.338 -13.275
388.489 -12.973
390.291 -13.552
390.669 -12.828
390.794 -13.158
390.999 -13.257
391.600 -13.634
391.686 -13.387
394.440 -13.514
396.318 -13.334
397.135 -13.104
399.825 -13.201
400.006 -12.911
401.248 -13.592
402.701 -12.469
403.119 -12.930
403.468 -13.558
403.480 -13.099
411.244 -13.503
412.098 -13.368
413.715 -13.208
414.479 -13.303
415.383 -13.788
426.563 -12.752
428.441 -13.419
428.871 -13.748
432.127 -13.162
432.256 -14.285
432.974 -13.241
433.474 -13.292
439.595 -13.335
442.048 -13.199
444.451 -13.806
445.589 -13.043
445.640 -13.377
447.295 -13.382
449.500 -12.704
456.627 -13.254
457.733 -12.579
459.928 -12.571
461.465 -13.401
463.313 -13.263
464.918 -13.065
470.914 -12.911
473.796 -13.309
474.193 -13.385
478.071 -13.348
479.385 -13.296
480.811 -13.145
483.383 -13.265
489.573 -13.719
492.748 -13.733
494.003 -13.255
500.754 -12.901
502.160 -13.144
507.024 -13.671
512.332 -13.021
514.281 -13.316
517.235 -13.322
520.003 -13.835
525.948 -13.427
526.556 -13.693
526.888 -13.187
526.930 -12.793
531.326 -13.468
534.551 -12.659
535.765 -13.123
540.710 -13.179
543.556 -13.038
548.647 -13.374
551.443 -12.419
557.967 -12.844
561.483 -13.024
564.989 -13.111
565.545 -13.000
566.433 -13.415
566.499 -13.231
568.733 -13.384
570.540 -13.890
585.730 -13.465
590.928 -13.195
594.969 -13.408
595.146 -12.919
595.281 -13.124
596.767 -13.504
603.541 -13.095
604.436 -13.013
608.645 -12.784
609.452 -12.813
619.630 -12.529
622.309 -12.257
630.298 -13.129
631.335 -13.022
647.568 -12.645
649.462 -12.773
650.895 -12.610
651.323 -13.271
652.104 -13.521
657.678 -12.956
662.621 -12.645
663.462 -13.655
666.634 -12.926
667.451 -12.711
667.512 -13.200
668.893 -13.073
673.533 -12.194
692.846 -13.414
693.756 -12.415
698.221 -13.309
712.644 -13.096
717.100 -13.277
718.861 -13.413
722.851 -13.000
730.413 -12.475
732.925 -12.744
750.840 -13.244
759.741 -12.642
765.702 -13.435
770.068 -13.265
774.847 -13.036
786.708 -12.965
804.093 -12.745
809.297 -13.004
810.797 -13.722
813.004 -12.117
814.219 -13.230
824.591 -12.736
825.897 -13.020
827.530 -12.988
841.517 -12.515
849.247 -12.591
857.910 -12.144
860.935 -12.805
910.195 -12.413
938.835 -12.234
938.920 -12.740
970.490 -12.535
973.934 -12.581
1058.022 -12.425
1073.756 -12.915
1101.602 -12.891
1111.406 -12.329
1116.714 -12.470
1119.245 -12.607
1122.447 -12.122
1137.349 -12.433
1142.280 -12.579
1282.371 -12.196
1284.435 -13.661
1303.474 -12.916
1325.036 -11.902
1366.988 -12.660
1370.396 -11.961
1534.371 -12.771
1665.164 -11.468
1802.430 -11.864
2574.583 -12.039
3084.410 -12.650
